fp424mn4339,https://purl.stanford.edu/fp424mn4339,Pyramid of Sahure,sup:Sahure_Pyramid,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,5,4,5,910 KB,931536,
fr683ct6617,https://purl.stanford.edu/fr683ct6617,Tasahur (ST 5),sup:Tasahur_ST5,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,10,4,10,3.14 MB,3294301,
fs401bh4975,https://purl.stanford.edu/fs401bh4975,Neferirkare_Pyramid_unfinished,sup:Neferirkare_Pyramid_unfinished,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,7,Accessioned,world,6,3,6,813 KB,832724,
fs892sr8080,https://purl.stanford.edu/fs892sr8080,Sledge (vehicle),su:SUAC_sledge_15108B,info:fedora/druid:bt759px9146,SUAC - public domain,Stanford University Archaeology Collections,item,3d,5,Accessioned,world,6,6,6,80.7 MB,84659013,
ft701dx6850,https://purl.stanford.edu/ft701dx6850,"Bison (Bison bison), adult female, 1st phalanx right (4)",su:ANTH_bison_edu_10008_bo,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,806 MB,845527907,
fv513pq5632,https://purl.stanford.edu/fv513pq5632,Handaxe,su:SUAC_20007,info:fedora/druid:bt759px9146,SUAC - public domain,Stanford University Archaeology Collections,item,3d,5,Accessioned,world,5,5,5,202 MB,211790370,
fw014fw1906,https://purl.stanford.edu/fw014fw1906,White cup with blue marks,su:ACLQ_Rutherford_89,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,,item,3d,3,Accessioned,world,5,5,5,324 MB,339295032,
fx993tk1331,https://purl.stanford.edu/fx993tk1331,"Sheep (Ovis aries), male, proximal phalynx",su:ANTH_sheep_edu_10005_n,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,4,Accessioned,world,6,6,6,39.7 MB,41676731,
fy012tz8909,https://purl.stanford.edu/fy012tz8909,Tomb of Meryneith/Meryre,sup:Meryneith,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,11,3,11,5.21 MB,5466749,
fy476vq1851,https://purl.stanford.edu/fy476vq1851,"Bison (Bison bison), adult female, hyoid right",su:ANTH_bison_edu_10008_be,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,50.5 MB,52963724,
fz538gz4611,https://purl.stanford.edu/fz538gz4611,Bowl,su:SUAC_98.1080,info:fedora/druid:vg063qt4414,SUAC - in copyright 3D,Stanford University Archaeology Collections,item,3d,6,Accessioned,world,4,4,4,243 MB,255028677,
gb839fn5988,https://purl.stanford.edu/gb839fn5988,"Bison (Bison bison), adult female, fused 2nd and 3rd carpal left",su:ANTH_bison_edu_10008_co,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,211 MB,220741766,
gc627zs9572,https://purl.stanford.edu/gc627zs9572,Tomb S2185,sup:2185,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,5,5,5,1.06 MB,1109216,
gd998jf5196,https://purl.stanford.edu/gd998jf5196,Tomb of Huy,sup:Huy,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,7,4,7,970 KB,993629,
gh476br1936,https://purl.stanford.edu/gh476br1936,"Bison (Bison bison), adult female, 4th thoracic vertebra",su:ANTH_bison_edu_10008_at,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,65.6 MB,68766734,
gh843fn1238,https://purl.stanford.edu/gh843fn1238,"Sheep (Ovis aries), male, axis",su:ANTH_sheep_edu_10005_f,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,4,Accessioned,world,6,6,6,55.2 MB,57899242,
gj544ff0340,https://purl.stanford.edu/gj544ff0340,"Bison (Bison bison), adult female, hyoid left",su:ANTH_bison_edu_10008_bf,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,50.2 MB,52671115,
gj625fv8226,https://purl.stanford.edu/gj625fv8226,"Bison (Bison bison), adult female, 3rd phalanx left (1)",su:ANTH_bison_edu_10008_by,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,134 MB,140528338,
gk103xv2891,https://purl.stanford.edu/gk103xv2891,"Bison (Bison bison), adult female, fused 2nd and 3rd tarsal left",su:ANTH_bison_edu_10008_cq,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,229 MB,239676193,
gm831kt7951,https://purl.stanford.edu/gm831kt7951,Tomb 3505,sup:3505_texturesremoved,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,7,Accessioned,world,7,7,7,1.53 MB,1600594,
gn093sk1321,https://purl.stanford.edu/gn093sk1321,"Sheep (Ovis aries), male, sternum",su:ANTH_sheep_edu_10005_c,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,4,Accessioned,world,6,6,6,168 MB,176651418,
gp287hq1825,https://purl.stanford.edu/gp287hq1825,Flake,su:SUAC_84_1165B,info:fedora/druid:bt759px9146,SUAC - public domain,Stanford University Archaeology Collections,item,3d,5,Accessioned,world,5,5,5,30.2 MB,31675577,
gp531gm9518,https://purl.stanford.edu/gp531gm9518,Lepsius 25 (XXV),sup:Lepsius_XXV,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,5,4,5,888 KB,909634,
